sample_id,TP,TN,FP,FN,Accuracy,IoU,F1
1084380_DF_080_080BDF0090_01559,437,188629,3316,3457,0.9654154688289871,0.06061026352288488,0.11429318687066824
1084381_DF_080_080BDF0090_01560,525,188571,2716,4027,0.9655686558857021,0.07223445239405614,0.13473630180931606
1084398_DF_080_080BDF0090_01592,41,193547,290,1961,0.9885058645111545,0.01788830715532286,0.035147878268324044
1084399_DF_080_080BDF0090_01595,422,190869,1640,2908,0.9767768422020129,0.08490945674044266,0.15652818991097922
1084417_DF_080_080BDF0090_01630,7,194484,547,801,0.9931167949182748,0.0051660516605166054,0.010279001468428781
1084418_DF_080_080BDF0090_01632,225,191079,1180,3355,0.9768432232599227,0.04726890756302521,0.09027081243731194
1084435_DF_080_080BDF0090_01660,0,195033,364,442,0.9958843744095915,0.0,0.0
1084436_DF_080_080BDF0090_01661,350,194467,344,678,0.9947814276012439,0.25510204081632654,0.4065040650406504
1084437_DF_080_080BDF0090_01663,1278,186058,1180,7323,0.9565816818917581,0.13066148655556692,0.2311239714259879
1084438_DF_080_080BDF0090_01665,28,194315,153,1343,0.9923610721051476,0.01837270341207349,0.03608247422680412
1084440_DF_080_080BDF0090_01668,0,193243,165,2431,0.9867442133589326,0.0,0.0
1084455_DF_080_080BDF0090_01696,238,191290,2636,1675,0.977987019950061,0.052319191030995825,0.09943597242531857
1084457_DF_080_080BDF0090_01700,349,189014,3871,2605,0.9669320206904651,0.05113553113553113,0.09729579035405632
1084458_DF_080_080BDF0090_01701,246,191219,2358,2016,0.9776653271309597,0.053246753246753244,0.10110974106041924
1084459_DF_080_080BDF0090_01703,66,193594,452,1727,0.9888735134472705,0.029398663697104678,0.057118130679359586
1084476_DF_080_080BDF0090_01732,41,193002,877,1919,0.9857229663141662,0.014451885794853719,0.02849200833912439
1084513_DF_080_080BDF0090_01797,27,193439,457,1916,0.9878829038138471,0.01125,0.022249690976514216
1084514_DF_080_080BDF0090_01799,0,195762,77,0,0.9996068198877649,0.0,0.0
1084517_DF_080_080BDF0090_01804,69,193511,612,1647,0.9884650146293639,0.029639175257731958,0.057571964956195244
1084527_DF_080_080BDF0090_01823,19,194961,71,788,0.9956137439427285,0.02164009111617312,0.042363433667781496
1084529_DF_080_080BDF0090_01827,98,194421,200,1120,0.993259769504542,0.0691114245416079,0.12928759894459102
1084530_DF_080_080BDF0090_01828,243,194036,595,965,0.9920342730508224,0.13477537437603992,0.2375366568914956
1084546_DF_080_080BDF0090_01855,289,194383,319,848,0.9940410234937883,0.19848901098901098,0.3312320916905444
1084547_DF_080_080BDF0090_01856,1523,192269,493,1554,0.9895475364968163,0.42661064425770306,0.5980757903004124
1085367_DF_080_080BDF0090_03485,312,189196,2547,3784,0.9676724247979207,0.046966731898238745,0.08971962616822429
1085368_DF_080_080BDF0090_03487,124,192064,1634,2017,0.98135713519779,0.0328476821192053,0.06360605283406001
1085369_DF_080_080BDF0090_03488,276,189902,2654,3007,0.9710936023978881,0.046488125315816066,0.08884596813133752
1085370_DF_080_080BDF0090_03489,85,192594,909,2251,0.9838642966926915,0.026194144838212634,0.05105105105105105
1085376_DF_080_080BDF0090_03501,96,192241,1124,2378,0.982117964246141,0.02668148971650917,0.05197617758527342
1085383_DF_080_080BDF0090_03514,257,191921,1299,2362,0.9813060728455517,0.06559469116896376,0.12311377245508982
1085386_DF_080_080BDF0090_03519,0,195608,104,127,0.9988204596632948,0.0,0.0
